plan_id,case_label,site_group,model_id,model_label,support_voxels,target_mass_species0,target_mass_species1
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",116395,105.40000915527344,1722.800048828125
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,mirror_lr_sink,"Bystander, mirrored left-right vessel sink",2108,105.40000915527344,1722.800048828125
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",2102,105.40000915527344,1722.800048828125
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",30226,105.40000915527344,1722.800048828125
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",109532,105.40000915527344,1722.800048828125
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,mirror_lr_sink,"Bystander, mirrored left-right vessel sink",2108,105.40000915527344,1722.800048828125
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",2102,105.40000915527344,1722.800048828125
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",21585,105.40000915527344,1722.800048828125
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",112121,105.40000915527344,1722.800048828125
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,mirror_lr_sink,"Bystander, mirrored left-right vessel sink",2108,105.40000915527344,1722.800048828125
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,shifted_sink_12mm_ap,"Bystander, vessel sink shifted 12 mm anterior",2102,105.40000915527344,1722.800048828125
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125
