plan_id,case_label,site_group,true_model_id,true_model_label,comparator_id,comparator_label,metric,label,units,true_value,comparator_value,true_minus_comparator,favors_true_sink
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",pvdr,PVDR,ratio,1.2569070448772695,1.2610319211890526,-0.004124876311783154,False
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,20.190831645444142,18.690592693206607,1.5002389522375346,False
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,16.72065450452765,15.74929391240633,0.9713605921213215,False
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",brainstem_d2,Brainstem D2,Gy,25.244690856933595,21.93720428466797,3.307486572265624,False
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",parotid_r_mean,Parotid R mean,Gy,24.990359816888365,21.486278535862162,3.5040812810262025,False
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",outside_gtv_d2,Outside-GTV D2,Gy,23.144090270996095,22.364839935302733,0.7792503356933622,False
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,true_vessel_sink,"Bystander, anatomical vascular sink",blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,17.161984657356395,15.842307095345689,1.3196775620107069,False
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",ptv_d95,PTV D95,Gy,16.45910987854004,16.279275131225585,0.17983474731445526,True
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",pvdr,PVDR,ratio,1.2569070448772695,1.46149150124334,-0.2045844563660706,False
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,20.190831645444142,19.82974841402901,0.3610832314151331,False
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,16.72065450452765,14.177595255661348,2.543059248866303,False
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",brainstem_d2,Brainstem D2,Gy,25.244690856933595,25.268144149780277,-0.02345329284668196,True
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,true_vessel_sink,"Bystander, anatomical vascular sink",peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",parotid_r_mean,Parotid R mean,Gy,24.990359816888365,26.110185519131747,-1.1198257022433822,True
