plan_id,case_label,comparator_id,comparator_label,metric,label,units,n_repeats,mean_true_minus_comparator,std_repeat_delta,min_delta,max_delta,p2_5_delta,p97_5_delta,mean_delta_ci_lower,mean_delta_ci_upper,bio_sigma_for_delta,combined_sigma,combined_95pct_noise_band,abs_mean_over_combined_sigma,favors_true_sink,exceeds_1sigma_noise_band,exceeds_95pct_noise_band,mean_delta_ci_excludes_zero
case03,Base-of-tongue / oropharynx bilobed central mass,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",parotid_r_mean,Parotid R mean,Gy,9,-0.6914569922167844,0.019155258088129644,-0.7318082327794553,-0.6666674190097375,-0.7265495038273364,-0.6682225082859844,-0.7048817508148425,-0.6791512889198456,0.05146535316557346,0.05491453804667812,0.10763249457148912,12.59151067844796,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",outside_gtv_d2,Outside-GTV D2,Gy,9,-0.4075961091783316,0.3553874639476809,-0.6408051300048818,0.5544524002075164,-0.639828659057617,0.3696623077392557,-0.5841117454104963,-0.13268998389773942,0.0,0.3553874639476809,0.6965594293374545,1.1469062657717626,True,True,False,True
case03,Base-of-tongue / oropharynx bilobed central mass,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,9,0.2717220034171157,0.026555164557373456,0.20892586881682718,0.30442699241725535,0.2188056635873025,0.3030738718885836,0.2533318727404638,0.286713967419573,0.0,0.026555164557373456,0.052048122532451974,10.232359992725703,False,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",ptv_d95,PTV D95,Gy,9,-0.9350565804375542,0.3273846024367261,-1.6257097721099854,-0.527641773223877,-1.5648488998413086,-0.5411828994750977,-1.1541959424813588,-0.7420648197333019,0.3956501309548962,0.5135364680694836,1.0065314774161878,1.8208182642854436,False,True,False,True
case03,Base-of-tongue / oropharynx bilobed central mass,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",pvdr,PVDR,ratio,9,0.04682679502177294,0.0030035796753694216,0.04155524488875173,0.05136700568989094,0.04203457742593804,0.051193863213956005,0.04492171125992492,0.04868917912203798,0.002239658936019717,0.0037466735934673107,0.007343480243195929,12.49823179244117,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.38583868481920586,0.010038272068780892,-0.3979342258313956,-0.3687040329503617,-0.3972472635328401,-0.3697218974889971,-0.39233972930255917,-0.3789832171198175,0.03851846227193974,0.039805010261545114,0.07801782011262842,9.693219076794398,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.10091420472114561,0.009266416928660162,-0.11530475791252215,-0.08281699062357362,-0.11364012232366391,-0.08477106927218543,-0.10662514561655656,-0.09480365238292546,0.02209242059849925,0.023957076837476513,0.04695587060145397,4.212292067423,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",brainstem_d2,Brainstem D2,Gy,9,0.009049987792970171,0.006951992409831723,0.0014376831054718764,0.021384887695312216,0.0018052978515655127,0.021129669189453183,0.004819486406115519,0.013819544474285763,0.00034736647075023474,0.00696066533683091,0.013642904060188582,1.3001613143335662,False,True,False,True
case03,Base-of-tongue / oropharynx bilobed central mass,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",parotid_r_mean,Parotid R mean,Gy,9,-0.8060082406708688,0.018742044477341877,-0.8430541529799935,-0.7733308021468339,-0.8397735946347005,-0.7776085416235098,-0.8195703700469124,-0.7939467377132835,0.05146535316557346,0.05477177017084498,0.10735266953485616,14.715760293245134,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",outside_gtv_d2,Outside-GTV D2,Gy,9,-0.02795644548204142,0.1455567689429803,-0.2906428146362323,0.19235729217529496,-0.26856902313232567,0.1754637069702163,-0.12590447743733713,0.06277644305759125,0.0,0.1455567689429803,0.2852912671282414,0.19206558159444265,True,False,False,False
case03,Base-of-tongue / oropharynx bilobed central mass,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",oar_adjacent_outside_gtv_mean,OAR-adjacent outside-GTV mean,Gy,9,-0.44667833299032406,0.014238459603659796,-0.4625185283065143,-0.41569632537200363,-0.4619912067157387,-0.41888841823824874,-0.4551688507270034,-0.4367307261134557,0.0,0.014238459603659796,0.0279073808231732,31.37125401370747,True,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",ptv_d95,PTV D95,Gy,9,-2.110249254438612,0.6110800517667662,-3.5061442852020264,-1.5309996604919434,-3.361008071899414,-1.5315305233001708,-2.543991369009018,-1.7532123002741073,0.3956501309548962,0.7279820435916673,1.4268448054396679,2.8987655300221564,False,True,True,True
case03,Base-of-tongue / oropharynx bilobed central mass,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",pvdr,PVDR,ratio,9,-0.1832744549879558,0.0033692806434176977,-0.1877492373253835,-0.1771995761378269,-0.18757833986205985,-0.17773281077333242,-0.1853706419595133,-0.18108821535590186,0.002239658936019717,0.004045753848642073,0.007929677543338464,45.30044630606246,False,True,True,True
