plan_id,case_label,endpoint,label,units,n_repeats,mean_with_sink_minus_no_sink,std_repeat_delta,min_delta,max_delta,p2_5_delta,p97_5_delta,mean_delta_ci_lower,mean_delta_ci_upper,bio_sigma_for_delta,combined_sigma,combined_95pct_noise_band,abs_mean_over_combined_sigma,exceeds_1sigma_noise_band,exceeds_95pct_noise_band,mean_delta_ci_excludes_zero,cohens_dz
case04,Laryngo-hypopharyngeal elongated cylinder,ptv_d95,PTV D95,Gy,9,-4.74699076546563,0.1531301430975345,-4.9659458160400405,-4.477810859680174,-4.952295761108399,-4.4937060546874985,-4.845728998184204,-4.64187874449624,0.3956501309548962,0.4242497694161989,0.8315295480557499,11.18914165115013,True,True,True,-29.226811413197293
case04,Laryngo-hypopharyngeal elongated cylinder,pvdr,PVDR,ratio,9,0.2252970841207484,0.017888230937781732,0.2057173178550855,0.2654998818912657,0.20599880556533506,0.2607229303474202,0.2148063860268573,0.23732878914009445,0.002239658936019717,0.01802789167465526,0.03533466768232431,12.497139886717045,True,True,True,11.874406624664076
case04,Laryngo-hypopharyngeal elongated cylinder,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-1.991430299015906,0.009162887664870719,-2.004177792621622,-1.9793527610511497,-2.0036145010923265,-1.9793601542923618,-1.9975575831810917,-1.9855143953062644,0.03851846227193974,0.03959331314949388,0.07760289377300801,50.29713708213283,True,True,True,-204.90685472341858
case04,Laryngo-hypopharyngeal elongated cylinder,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.6378579790539186,0.0033225859898012872,-0.6432375833140007,-0.6335005456622689,-0.6431245984890939,-0.6336121576036096,-0.6401189791244187,-0.6356982260626237,0.02209242059849925,0.022340873428776633,0.043788111920402197,28.55116569580096,True,True,True,-180.99705221873378
case04,Laryngo-hypopharyngeal elongated cylinder,cord_d2,Cord D2,Gy,9,-0.21413072374131936,0.01088162024027356,-0.22617248535156165,-0.19236984252929545,-0.22575863647460892,-0.1937399291992179,-0.22048230404324123,-0.20658433024088435,0.0,0.01088162024027356,0.021327975670936177,19.67820223580383,True,True,True,-18.552786989996225
case04,Laryngo-hypopharyngeal elongated cylinder,brainstem_d2,Brainstem D2,Gy,9,-0.08147710164387847,0.0541940842714638,-0.2201233673095686,-0.041069335937500284,-0.20052809143066241,-0.041548950195311816,-0.12083764415316973,-0.05293410195244604,0.00034736647075023474,0.054195197513133224,0.10622258712574112,1.5034007694894733,True,False,True,-1.4174489548889386
case04,Laryngo-hypopharyngeal elongated cylinder,parotid_r_mean,Parotid R mean,Gy,9,-0.8785353618840175,0.04125339884923138,-0.9663128775779644,-0.7964508586459687,-0.9516463021557737,-0.8100286686059199,-0.9062972823725269,-0.8507594085729752,0.05146535316557346,0.06595851342374968,0.12927868631054937,13.319514286804457,True,True,True,-20.078129454520184
case05,Parapharyngeal / prestyloid deep-space bulky mass,ptv_d95,PTV D95,Gy,9,-1.3731373892890082,0.2567382047150459,-1.8295230865478516,-0.9998310089111335,-1.784114742279053,-1.0053117752075198,-1.5427840397093033,-1.210761417812772,0.3956501309548962,0.4716497979273725,0.9244336039376501,2.9113494701432105,True,True,True,-5.042515380182516
case05,Parapharyngeal / prestyloid deep-space bulky mass,pvdr,PVDR,ratio,9,-0.15863141856577212,0.0034288066750718595,-0.16274971726306653,-0.1522791608137728,-0.16255576037917963,-0.15245376100365826,-0.16066846410764352,-0.15627735398758336,0.002239658936019717,0.004095459359426035,0.008027100344475029,38.73348619628441,True,True,True,-43.618421764669584
case05,Parapharyngeal / prestyloid deep-space bulky mass,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.6884501057245431,0.009745961016878506,-0.6979675322565093,-0.6696575627304782,-0.6977131754374348,-0.6706066468317274,-0.6944578583925375,-0.6814587732773649,0.03851846227193974,0.03973230036050468,0.07787530870658917,17.327214872484127,True,True,True,-66.59958758619341
case05,Parapharyngeal / prestyloid deep-space bulky mass,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.3719684164610959,0.005090391568760216,-0.3792429909166053,-0.3652485651030588,-0.3789507543407197,-0.3652901687483869,-0.37551296382957594,-0.3686212893898514,0.02209242059849925,0.02267128435321429,0.04443571733230001,16.407028850500872,True,True,True,-68.89355788947623
case05,Parapharyngeal / prestyloid deep-space bulky mass,cord_d2,Cord D2,Gy,9,-0.17932685004340165,0.029177953976907065,-0.22956863403319971,-0.13122528076171847,-0.22472198486327813,-0.1357542114257811,-0.19816520733303283,-0.15985235680474122,0.0,0.029177953976907065,0.05718878979473785,6.145970693672701,True,True,True,-5.7944767392930085
case05,Parapharyngeal / prestyloid deep-space bulky mass,brainstem_d2,Brainstem D2,Gy,9,-0.25240941365559877,0.05510991993151212,-0.356214447021479,-0.19897048950195284,-0.3532844543456989,-0.20029870605468716,-0.2919145185682506,-0.22232803344726587,0.00034736647075023474,0.055111014673318054,0.10801758875970338,4.580017536454514,True,True,True,-4.318167721358837
case05,Parapharyngeal / prestyloid deep-space bulky mass,parotid_r_mean,Parotid R mean,Gy,9,-1.3241400122508726,0.024416493106574014,-1.358018553377402,-1.273877128446948,-1.3556071418222757,-1.278070246763906,-1.3391136199884812,-1.3072381890636244,0.05146535316557346,0.05696356477679903,0.1116485869625261,23.24538531672421,True,True,True,-51.129831398047024
case06,Buccal mucosa / cheek infiltrative crescent,ptv_d95,PTV D95,Gy,9,-1.3222602844238285,0.15309941674052033,-1.51712875366211,-1.0983469009399442,-1.5104714202880865,-1.1016764068603535,-1.4152914598253041,-1.2150360939237808,0.3956501309548962,0.42423867990898007,0.8315078126216009,3.1167838932261387,True,True,True,-8.14267603378604
case06,Buccal mucosa / cheek infiltrative crescent,pvdr,PVDR,ratio,9,0.023286516686482087,0.002016317567095129,0.020146715046392538,0.025767674195136037,0.020168146962131938,0.025726182712199862,0.021899621291806125,0.024532137775570274,0.002239658936019717,0.003013570752623769,0.0059065986751425876,7.727217509729165,True,True,True,10.88853206322885
case06,Buccal mucosa / cheek infiltrative crescent,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.587738810560407,0.011044284665424918,-0.6034254254146489,-0.56825335253885,-0.6023063695053473,-0.5687308622993683,-0.5945001287514473,-0.5800737308408366,0.03851846227193974,0.04007053979628656,0.07853825800072166,14.667604019022331,True,True,True,-50.173051625496086
case06,Buccal mucosa / cheek infiltrative crescent,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.4426124903181397,0.007195478531703029,-0.4525809290874463,-0.4279738973180294,-0.4518666286985706,-0.4291163924579756,-0.4470020984032712,-0.43779722826363,0.02209242059849925,0.02323467148898803,0.04553995611841653,19.049655620391015,True,True,True,-57.99462203250144
case06,Buccal mucosa / cheek infiltrative crescent,cord_d2,Cord D2,Gy,9,-0.0871698082817913,0.03497782311351758,-0.14229431152343608,-0.029766693115234943,-0.13818646240234217,-0.03500370788574259,-0.10984045007493613,-0.0651337748633485,0.0,0.03497782311351758,0.06855653330249446,2.492145037125067,True,True,True,-2.34961687393538
case06,Buccal mucosa / cheek infiltrative crescent,brainstem_d2,Brainstem D2,Gy,9,-0.1797224002414287,0.12143441060619523,-0.4360717773437486,-0.03609321594238324,-0.4151785583496078,-0.043871185302734976,-0.2599677102830669,-0.10753397623698015,0.00034736647075023474,0.12143490743084964,0.23801241856446528,1.4799896013736453,True,False,True,-1.3953532864086289
case06,Buccal mucosa / cheek infiltrative crescent,parotid_r_mean,Parotid R mean,Gy,9,-0.6737308369474917,0.028410868250652203,-0.7148464992792896,-0.626372707251349,-0.7138590988005035,-0.6277793811065997,-0.6923269968642931,-0.6539770066403645,0.05146535316557346,0.05878656318592812,0.11522166384441912,11.460626381859388,True,True,True,-22.357624521107844
case07,Oral tongue / floor-of-mouth horseshoe,ptv_d95,PTV D95,Gy,9,-1.549460421668159,0.45726022890177237,-2.0583909988403324,-0.5019420623779318,-2.0178082466125495,-0.6083110427856462,-1.8183746608098352,-1.2221145513322624,0.3956501309548962,0.604670110936474,1.1851534174354892,2.562488857384491,True,True,True,-3.194778821309019
case07,Oral tongue / floor-of-mouth horseshoe,pvdr,PVDR,ratio,9,0.033373537065164736,0.0032186473443394296,0.026393752841710638,0.036997617135127836,0.02721234822347749,0.036981768292013495,0.03117509537600858,0.03526659135047781,0.002239658936019717,0.003921194062644214,0.007685540362782659,8.511064877686687,True,True,True,9.77580614724632
case07,Oral tongue / floor-of-mouth horseshoe,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.7200939290438946,0.023289447275996394,-0.7395802561989413,-0.6718156244663831,-0.7393762424294025,-0.6745970235232583,-0.7338106784562524,-0.7039726637491219,0.03851846227193974,0.04501189054256954,0.08822330546343629,15.997860129044637,True,True,True,-29.151016726389468
case07,Oral tongue / floor-of-mouth horseshoe,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.7306838539378503,0.017491880790421008,-0.7513418098361271,-0.6944667880405966,-0.7498055717695238,-0.6975369511864443,-0.7411790014143288,-0.7183872621860442,0.02209242059849925,0.028178732077353896,0.05523031487161363,25.930331142367873,True,True,True,-39.383720497791714
case07,Oral tongue / floor-of-mouth horseshoe,cord_d2,Cord D2,Gy,9,-0.0901704576280385,0.02634415502868075,-0.12600975036621165,-0.043492889404298296,-0.12583677673339863,-0.04577983093261864,-0.1069394503699401,-0.07260878711276648,0.0,0.02634415502868075,0.05163454385621427,3.422787997180793,True,True,True,-3.227035471160614
case07,Oral tongue / floor-of-mouth horseshoe,brainstem_d2,Brainstem D2,Gy,9,-0.22357258266872926,0.11079440677396232,-0.461159210205075,-0.12900390625000213,-0.4400290985107397,-0.13060960388183815,-0.3010521551767987,-0.1582484647962796,0.00034736647075023474,0.11079495131033376,0.21715810456825416,2.017895039662126,True,True,True,-1.9024990387824152
case07,Oral tongue / floor-of-mouth horseshoe,parotid_r_mean,Parotid R mean,Gy,9,-0.5049330415950476,0.027111610162443584,-0.5536173791596362,-0.46860133469706966,-0.5500712600862119,-0.46916287663007095,-0.5228228841994605,-0.48785797161151473,0.05146535316557346,0.05816976862647399,0.114012746507889,8.6803343647003,True,True,True,-17.559098635491587
