plan_id,case_label,site_group,model_id,model_label,ptv_d95,pvdr,spill_shell_0_5_mean,spill_shell_5_15_mean,cord_d2,brainstem_d2,parotid_r_mean,gtv_d95,thyroid_mean,body_dmax,parotid_l_mean,spill_shell_15_30_mean,outside_gtv_d2,oar_adjacent_outside_gtv_mean,ptv_valley_outside_gtv_mean,peak_mean,valley_mean,peak_voxels,valley_voxels,risk_score,rank,repeat_id,seed,history_scale,model_risk_score,model_rank_within_case
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",14.979743719100952,1.302337128191315,21.495939831577772,18.346606756529077,38.64945220947265,36.7009049987793,16.653298130420723,16.102968311309816,22.48430307287919,43.98902893066406,20.07482356447162,14.934778272508586,28.274063110351562,19.191680753774275,21.495939831577772,31.673767404929084,24.32071290858274,793.0,18035.0,5.647216246537867,6.0,seed22_hist0p5,22,0.5,2.5808622662637157,2
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,no_sink,"Bystander, no vascular sink",17.55693664550781,1.4008340388749811,20.973422895701084,14.96668357214246,34.28038864135742,33.104384918212894,15.91889477161446,22.084264183044432,19.921413660787575,42.249305725097656,14.454450926154552,9.60223696252511,26.355029830932615,16.39627831391304,20.968262009374698,35.16981392353773,25.10633875786088,256.0,13699.0,-1.0439464483403194,3.0,seed22_hist0p5,22,0.5,6.01488179731333,4
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,true_vessel_sink,"Bystander, anatomical vascular sink",12.780698108673096,1.6079587952813144,18.990535486763843,14.330845867921859,34.088018798828124,33.05405654907227,15.12244391296849,12.6843731880188,19.65961975357481,41.87543487548828,13.575238888673107,9.36049643837513,26.230636901855465,15.717174286702207,18.982818203020614,34.94651957601309,21.73346710037999,256.0,13699.0,-2.0299259657561777,3.0,seed22_hist0p5,22,0.5,-0.2704065046034374,2
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,no_sink,"Bystander, no vascular sink",17.75997714996338,1.4423183084795776,21.76357685714132,18.912579681549545,38.301035766601565,37.43856460571289,24.87204429742062,20.80285406112671,21.08443619223202,45.150482177734375,12.78475381292478,15.356192049353256,28.40824729919434,19.834873636990018,21.76357685714132,36.650472670486295,25.410807347458174,776.0,18122.0,4.975437745200182,6.0,seed22_hist0p5,22,0.5,2.7576739305982296,2
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,true_vessel_sink,"Bystander, anatomical vascular sink",15.930454063415528,1.2900391476658049,21.093919294410842,18.547331116446486,38.14630920410156,37.209733123779294,23.59816716897367,18.87199878692627,21.002429203352325,41.95572280883789,12.252120044977978,15.171009698196766,28.191584548950203,19.201060415476693,21.093919294410842,31.419875405498388,24.355753437676267,776.0,18122.0,5.621874236133624,5.0,seed22_hist0p5,22,0.5,2.8066695661354353,3
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,no_sink,"Bystander, no vascular sink",17.786318588256837,1.316618122503755,21.48329673640812,17.234248407731055,19.049463195800776,17.456228637695315,24.5406315562701,20.44594039916992,13.099879576325785,41.208412170410156,5.487469035206419,12.890801236534193,25.184078216552727,11.678454806842845,21.48329673640812,34.055535062958924,25.86591698904843,237.0,16899.0,-0.17729866155425622,4.0,seed22_hist0p5,22,0.5,4.798196937541457,4
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,true_vessel_sink,"Bystander, anatomical vascular sink",16.456149673461915,1.3388838460247532,20.88546659053998,16.791111663216533,18.984320983886715,17.3432088470459,23.858365062752156,19.449600219726562,13.03572511525346,41.20806884765625,5.305936690051146,12.56883145357322,25.180532836914054,11.090004405726571,20.88546659053998,34.0555309665857,25.435762084738816,237.0,16899.0,-1.2936658866176658,4.0,seed22_hist0p5,22,0.5,1.0393465097844574,2
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,no_sink,"Bystander, no vascular sink",17.337030601501464,1.5052848847951354,21.2761759659613,17.23997282704084,19.84799377441406,24.143640289306642,18.357035918187613,20.657800006866456,20.130831145649722,45.35776901245117,16.84756403451014,14.77045533069912,25.677135620117188,16.481510318031784,21.2761759659613,37.67902211844921,25.03115689199072,512.0,16591.0,-1.7131477534628978,2.0,seed22_hist0p5,22,0.5,5.0085462699400365,4
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,true_vessel_sink,"Bystander, anatomical vascular sink",15.564745998382568,1.5370153121236116,20.540794608252188,16.497291435974272,19.763207931518554,23.980012283325195,17.885626873825537,19.701910877227782,20.05996039482093,45.3562126159668,16.373807853159278,14.253728334433873,25.667707443237312,15.649561939344904,20.540794608252188,37.66995672881603,24.508511028930137,512.0,16591.0,-2.5475653423614664,2.0,seed22_hist0p5,22,0.5,0.6058867808832605,2
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,no_sink,"Bystander, no vascular sink",16.943071365356445,1.6113836097491048,20.473845370375457,17.01056015321897,16.478137817382812,22.967489852905278,3.3931816663404906,19.803006744384767,19.323937636041787,40.87456512451172,17.05441841742005,12.24005344980844,24.96666069030761,13.278659273750739,20.473845370375457,37.8439616321382,23.485383246532198,525.0,18031.0,-4.713829139830121,1.0,seed22_hist1p0,22,1.0,4.151355267597561,4
