sample_id,plan_id,metric,label,physical_value,no_sink_value,with_sink_value,delta
sample_001,case06,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.422456015930188,19.082193787925906,18.624411214000837,-0.45778257392506916
sample_001,case06,cord_d2,Cord D2,5.403743743896482,18.632511978149413,18.55477867126465,-0.07773330688476321
sample_001,case06,brainstem_d2,Brainstem D2,6.732566375732423,19.892733688354493,19.586541900634767,-0.306191787719726
sample_001,case06,parotid_r_mean,Parotid R mean,5.246605821811792,20.749731202559037,20.158218412688285,-0.5915127898707517
sample_001,case07,ptv_d95,PTV D95,3.5000000953674317,18.156770324707033,16.57069911956787,-1.586071205139163
sample_001,case07,pvdr,PVDR,2.1613267665900513,1.2558708977408504,1.2857600388986048,0.02988914115775443
sample_001,case07,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.415503504528602,21.113370802382324,20.361647408422986,-0.7517233939593382
sample_001,case07,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,5.824338141293821,18.408164893562752,17.634771944107612,-0.7733929494551397
sample_001,case07,cord_d2,Cord D2,9.003155403137207,21.775524826049804,21.72123405456543,-0.054290771484375
sample_001,case07,brainstem_d2,Brainstem D2,8.335540504455567,21.370157318115236,21.218578338623047,-0.15157897949218935
sample_001,case07,parotid_r_mean,Parotid R mean,3.8203198885676835,16.325745520928894,15.833439331825334,-0.4923061891035605
sample_001,case08,ptv_d95,PTV D95,3.500000047683716,18.564363956451416,17.38583459854126,-1.1785293579101577
sample_001,case08,pvdr,PVDR,1.6140858790872068,1.1829096026711012,1.0815392580312986,-0.10137034463980266
sample_001,case08,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.966978740692139,21.92778038077295,21.25418905865686,-0.6735913221160921
sample_001,case08,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.200121616227579,18.550004838010693,18.034788396029793,-0.5152164419809004
sample_001,case08,cord_d2,Cord D2,12.02076622009277,27.895652465820312,27.82332649230957,-0.07232597351074332
sample_001,case08,brainstem_d2,Brainstem D2,10.299411087036132,26.39246620178223,26.076647338867186,-0.31581886291504446
sample_001,case08,parotid_r_mean,Parotid R mean,9.591219079374063,25.267371607308437,24.660489511971523,-0.6068820953369141
sample_001,case09,ptv_d95,PTV D95,3.5000001430511474,18.56579475402832,17.880038452148437,-0.6857563018798842
sample_001,case09,pvdr,PVDR,1.8639824157560045,1.2100147143520719,1.139505983175973,-0.0705087311760988
sample_001,case09,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.143698386991114,21.615522349844657,21.39305741389867,-0.22246493594598604
sample_001,case09,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.54102773662969,19.115013077947673,18.83034334237859,-0.28466973556908215
sample_001,case09,cord_d2,Cord D2,11.807664413452148,25.80107940673828,25.755295333862303,-0.04578407287597486
sample_001,case09,brainstem_d2,Brainstem D2,9.051507835388184,26.371043853759765,26.2992333984375,-0.07181045532226449
sample_001,case09,parotid_r_mean,Parotid R mean,12.636478632146662,26.798288499466096,26.217918284252438,-0.5803702152136587
sample_001,case10,ptv_d95,PTV D95,3.5,18.766634941101074,17.183191776275635,-1.5834431648254395
sample_001,case10,pvdr,PVDR,1.645898441108816,1.1651637134367763,1.0995038331908482,-0.06565988024592806
sample_001,case10,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,8.18923931996917,22.354862616819428,21.97066574204354,-0.3841968747758884
sample_001,case10,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,7.3043823211845735,19.47768868512088,19.288716692673844,-0.188971992447037
sample_001,case10,cord_d2,Cord D2,12.623858299255371,28.323781738281248,28.267267303466795,-0.05651443481445284
sample_001,case10,brainstem_d2,Brainstem D2,12.214059333801272,28.642440567016603,28.54791343688965,-0.09452713012695213
sample_001,case10,parotid_r_mean,Parotid R mean,6.92926394216942,23.15182675063008,22.55043255006424,-0.6013942005658386
sample_002,case01,ptv_d95,PTV D95,3.5000001788139343,17.76168203353882,17.287882804870605,-0.4737992286682129
sample_002,case01,pvdr,PVDR,1.7942250613848219,1.2843264830832914,1.2948889803408608,0.010562497257569303
sample_002,case01,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.1248379276762455,21.00392344282061,20.718824413183615,-0.28509902963699574
sample_002,case01,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,5.551478219009564,17.494636726557996,17.23976372221339,-0.25487300434460636
sample_002,case01,cord_d2,Cord D2,1.6935659074783322,11.73370880126953,11.623014602661133,-0.1106941986083978
sample_002,case01,brainstem_d2,Brainstem D2,4.724041156768799,18.493602294921878,18.339073638916016,-0.15452865600586208
sample_002,case01,parotid_r_mean,Parotid R mean,4.527316856745518,15.520303237799443,15.13352663541081,-0.38677660238863254
sample_002,case02,ptv_d95,PTV D95,3.5,17.73612337112427,16.865417003631592,-0.8707063674926765
sample_002,case02,pvdr,PVDR,1.7966069888665888,1.2710603747517124,1.2854227155532238,0.014362340801511442
sample_002,case02,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.571629834635082,21.532913171700727,21.259871033794244,-0.2730421379064829
sample_002,case02,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.350267394972314,18.544909585541053,18.31322431712243,-0.23168526841862302
sample_002,case02,cord_d2,Cord D2,4.304217872619628,17.01928550720214,16.94455749511718,-0.07472801208496094
sample_002,case02,brainstem_d2,Brainstem D2,7.62433998107911,22.535968475341797,22.4825415802002,-0.05342689514159815
sample_002,case02,parotid_r_mean,Parotid R mean,0.21397229129015796,3.328455740273601,3.1674553490648365,-0.16100039120876453
sample_002,case03,ptv_d95,PTV D95,3.5000001192092896,17.602084159851074,16.40847635269165,-1.1936078071594238
sample_002,case03,pvdr,PVDR,1.6557359939167076,1.2418555652840695,1.148445970070826,-0.09340959521324343
sample_002,case03,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.893605106264787,21.78493813296929,21.096616542545707,-0.688321590423584
sample_002,case03,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.3122657820646655,18.402153246923277,18.04297408772286,-0.35917915920041565
sample_002,case03,cord_d2,Cord D2,18.599873275756835,31.612781677246094,31.532594833374024,-0.08018684387207031
sample_002,case03,brainstem_d2,Brainstem D2,18.5877791595459,31.874316177368165,31.748446655273437,-0.12586952209472813
sample_002,case03,parotid_r_mean,Parotid R mean,4.715152071943186,18.001628205270478,17.295290875675704,-0.7063373295947741
sample_002,case04,ptv_d95,PTV D95,3.4999999046325683,17.125823974609375,12.98210105895996,-4.143722915649414
sample_002,case04,pvdr,PVDR,1.9199070266211269,1.2781763227346827,1.4174923720772874,0.13931604934260466
sample_002,case04,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.1157045766817415,20.09898701274763,18.611208272518287,-1.487778740229345
sample_002,case04,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,3.8142536735420576,14.887325158125252,14.368389274616128,-0.5189358835091245
sample_002,case04,cord_d2,Cord D2,12.86361804962158,27.58920295715332,27.4904035949707,-0.09879936218261776
sample_002,case04,brainstem_d2,Brainstem D2,26.443986892700195,34.59453842163086,34.53234146118164,-0.06219696044922074
sample_002,case04,parotid_r_mean,Parotid R mean,3.353234562127277,14.23889847861396,13.593837643632986,-0.6450608349809741
sample_002,case05,ptv_d95,PTV D95,3.4999999046325683,17.454601669311522,16.44325981140137,-1.0113418579101534
sample_002,case05,pvdr,PVDR,2.0117584786890403,1.29596308644538,1.2039697279578594,-0.09199335848752055
sample_002,case05,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.226131111328786,20.49480139080838,19.902322243157624,-0.5924791476507565
sample_002,case05,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,4.913785900432322,17.194304539692766,16.843327067106948,-0.3509774725858179
sample_002,case05,cord_d2,Cord D2,17.382209701538084,29.550987167358397,29.44325225830078,-0.10773490905761562
sample_002,case05,brainstem_d2,Brainstem D2,10.529837722778321,26.970454864501953,26.81061393737793,-0.15984092712402287
sample_002,case05,parotid_r_mean,Parotid R mean,7.717367107699616,22.28938249144891,21.61958541677456,-0.6697970746743529
sample_002,case06,ptv_d95,PTV D95,3.499999833106995,17.228727340698242,16.420070838928222,-0.8086565017700202
sample_002,case06,pvdr,PVDR,1.7061907148943334,1.2000669227201488,1.2195585519610033,0.019491629240854458
sample_002,case06,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.543073716337961,21.62464734067393,21.09738091981901,-0.5272664208549216
sample_002,case06,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.422456015930188,19.040721268759658,18.61449316748852,-0.4262281012711391
sample_002,case06,cord_d2,Cord D2,5.403743743896482,18.50369445800781,18.386112670898438,-0.11758178710937273
sample_002,case06,brainstem_d2,Brainstem D2,6.732566375732423,19.81507293701172,19.473600540161133,-0.3414723968505875
sample_002,case06,parotid_r_mean,Parotid R mean,5.246605821811792,19.848885025640932,19.238673886385833,-0.6102111392550995
sample_002,case07,ptv_d95,PTV D95,3.5000000953674317,17.489760971069337,16.123973274230956,-1.3657876968383817
sample_002,case07,pvdr,PVDR,2.1613267665900513,1.3229264506942406,1.3529079555029802,0.029981504808739512
sample_002,case07,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.415503504528602,20.677185501103164,19.99238426139982,-0.6848012397033436
sample_002,case07,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,5.824338141293821,18.296790740409303,17.594997644791064,-0.701793095618239
sample_002,case07,cord_d2,Cord D2,9.003155403137207,21.820883407592774,21.704531784057618,-0.11635162353515582
sample_002,case07,brainstem_d2,Brainstem D2,8.335540504455567,21.44884765625,21.26241729736328,-0.18643035888671733
sample_002,case07,parotid_r_mean,Parotid R mean,3.8203198885676835,15.894086661483302,15.39086365169949,-0.5032230097838113
sample_002,case08,ptv_d95,PTV D95,3.500000047683716,17.906976985931397,16.970420551300048,-0.9365564346313491
sample_002,case08,pvdr,PVDR,1.6140858790872068,1.2291163711795008,1.1346890838569776,-0.09442728732252315
sample_002,case08,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.966978740692139,21.570269081310325,20.939448112876995,-0.6308209684333299
sample_002,case08,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.200121616227579,18.474745985570927,17.993434269377847,-0.4813117161930798
sample_002,case08,cord_d2,Cord D2,12.02076622009277,27.82746528625488,27.687200393676758,-0.14026489257812358
sample_002,case08,brainstem_d2,Brainstem D2,10.299411087036132,25.515795593261718,25.286409454345705,-0.22938613891601278
sample_002,case08,parotid_r_mean,Parotid R mean,9.591219079374063,24.401601471563783,23.7373082979761,-0.6642931735876836
sample_002,case09,ptv_d95,PTV D95,3.5000001430511474,17.846564102172852,17.501712799072266,-0.34485130310058665
sample_002,case09,pvdr,PVDR,1.8639824157560045,1.2351129802344583,1.1704627172898106,-0.06465026294464771
sample_002,case09,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.143698386991114,21.239733954075707,21.02222161849944,-0.21751233557626648
sample_002,case09,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.54102773662969,19.04707985416788,18.78422120333117,-0.26285865083670856
sample_002,case09,cord_d2,Cord D2,11.807664413452148,24.73041618347168,24.701811065673827,-0.02860511779785213
sample_002,case09,brainstem_d2,Brainstem D2,9.051507835388184,25.650232849121092,25.477254333496095,-0.17297851562499744
sample_002,case09,parotid_r_mean,Parotid R mean,12.636478632146662,26.147357351129706,25.516191436305192,-0.6311659148245141
sample_002,case10,ptv_d95,PTV D95,3.5,17.952611923217773,16.9850172996521,-0.9675946235656738
sample_002,case10,pvdr,PVDR,1.645898441108816,1.1998372304483893,1.1408981030122929,-0.05893912743609642
sample_002,case10,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,8.18923931996917,21.975242355949657,21.605686836340904,-0.36955551960875255
sample_002,case10,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,7.3043823211845735,19.463023144673272,19.279094282829405,-0.18392886184386725
