plan_id,case_label,site_group,mode,mode_label,ptv_d95,pvdr,spill_shell_0_5_mean,spill_shell_5_15_mean,cord_d2,brainstem_d2,parotid_r_mean,gtv_d95,thyroid_mean,body_dmax,parotid_l_mean,spill_shell_15_30_mean,outside_gtv_d2,oar_adjacent_outside_gtv_mean,ptv_valley_outside_gtv_mean,peak_mean,valley_mean,peak_voxels,valley_voxels,sample_id,risk_score,rank
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,bystander_no_sink,"Bystander, no vascular sink",18.330859661102295,1.2266470863810888,21.414469793798844,17.65016996921899,12.160050735473632,19.00982421875,15.657278696695963,21.752440452575684,20.045574411150103,33.01708984375,1.7587272912564904,12.371388735056152,24.848447265624994,11.14217214850327,21.414469793798844,28.890151851372032,23.55213017022288,514,10306,sample_001,-5.468503439204454,1
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,bystander_with_sink,"Bystander, anatomical vascular sink",17.84770154953003,1.2372071258895854,21.096406891054194,17.365306616515173,12.08646415710449,18.882831268310547,15.266612696406817,21.458740329742433,20.01393311237772,33.01662063598633,1.668888876654885,12.194158680943188,24.845576171875,10.627114263771174,21.096406891054194,28.888684213393393,23.349917413886256,514,10306,sample_001,-5.307168069874306,1
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,physical_only,Physical-only,3.5,1.7966069888665888,7.571629834635082,6.350267394972314,4.304217872619628,7.62433998107911,0.21397229129015796,3.7045312881469727,10.421681207769057,41.908912658691406,6.310525364345974,3.867491504612612,16.51112937927246,5.1028538555147085,7.571629834635082,13.80194852374849,7.682230231362739,525,18031,sample_001,-2.245855756571696,3
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_no_sink,"Bystander, no vascular sink",18.34344720840454,1.2019846980391864,21.94670380448222,18.64000789967944,17.208980102539055,23.79951774597168,3.526016675342213,21.195046997070314,22.647374421819446,48.399471282958984,18.001189162514425,13.41916928551371,26.451948928833005,14.913995076821196,21.94670380448222,28.574417255946567,23.77269636007879,525,18031,sample_001,-2.942538298030625,3
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_with_sink,"Bystander, anatomical vascular sink",17.416695308685302,1.216744802156209,21.644399766584684,18.391420354536095,17.16039016723632,23.607937850952148,3.3759525920405533,20.308269119262697,22.60365044738486,48.390785217285156,17.551886381284156,13.174422125738824,26.43739776611328,14.250915381643294,21.644399766584684,28.56381083897182,23.47559717399534,525,18031,sample_001,-3.4262560554086514,3
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,physical_only,Physical-only,3.5000001192092896,1.6557359939167076,7.893605106264787,6.3122657820646655,18.599873275756835,18.5877791595459,4.715152071943186,3.899498724937439,7.97205074948054,23.54033088684082,8.981715619443642,4.620076896488795,15.555738525390625,8.535382255425244,7.893605106264787,14.233529468502704,8.596496978260852,793,18035,sample_001,3.8051861467221983,9
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_no_sink,"Bystander, no vascular sink",18.28918743133545,1.183560380293472,22.132151083750987,18.48141077298681,32.086680755615234,32.261182708740236,18.601638867156673,20.982211875915528,21.138728097496386,35.58396911621094,21.62426898070056,14.61588533552261,26.285822296142577,20.840790027979175,22.132151083750987,28.69329763030044,24.24320559225355,793,18035,sample_001,4.609026305523153,10
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_with_sink,"Bystander, anatomical vascular sink",16.6555233001709,1.080706533502308,21.413010017922304,18.11391155836717,32.03541320800781,32.20208740234375,17.93100204660435,18.018106079101564,21.07378109616023,32.79895782470703,21.00744483446834,14.405677723813643,25.66854148864746,20.324696554241175,21.413010017922304,25.121453073556907,23.245397612378973,793,18035,sample_001,4.51065688570232,9
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,physical_only,Physical-only,3.4999999046325683,1.9199070266211269,6.1157045766817415,3.8142536735420576,12.86361804962158,26.443986892700195,3.353234562127277,4.305298233032227,5.339538831644383,27.45594596862793,2.791876085539057,2.103351772792463,13.752878570556602,4.783478232594313,6.109907462619222,13.835010256618261,7.206083453409045,256,13699,sample_001,-1.2412083141216046,4
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_no_sink,"Bystander, no vascular sink",17.640130043029785,1.2411831898681167,20.514513124054798,15.12734867196196,27.46752349853515,34.350081329345706,14.582275835673014,21.342074584960937,19.866160063551675,36.28664016723633,13.31405594083998,9.340094209176149,24.97978767395019,16.25834200344447,20.50887022150277,28.135857358574867,22.66857752203724,256,13699,sample_001,-1.9198886705647,4
