plan_id,case_label,site_group,mode,mode_label,mean_gammah2ax_peak,mean_gammah2ax_valley,mean_tunel_peak,mean_tunel_valley,mean_cytokine_final_peak,mean_cytokine_final_valley,cytokine_global_auc,cytokine_peak_roi_auc,cytokine_valley_roi_auc,immune_scalar,icd_volume_cm3
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_no_sink,"Bystander, no vascular sink",0.6960822939872742,0.5070746541023254,0.9879242181777954,0.8887574672698975,116.21894836425781,66.17691040039062,94.45124053955078,3091.62158203125,1677.37890625,0.9163095875736476,54.744
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_with_sink,"Bystander, anatomical vascular sink",0.6961954832077026,0.5035285949707031,0.9874587059020996,0.805605411529541,112.63418579101562,45.75228500366211,82.31208801269531,3046.149658203125,1238.65966796875,0.9163095875736476,54.744
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,physical_only,Physical-only,0.6072246432304382,0.2934485077857971,0.6072246432304382,0.2934485077857971,0.0,0.0,0.0,0.0,0.0,0.9456474476041395,86.992
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_no_sink,"Bystander, no vascular sink",0.6637775897979736,0.5006149411201477,0.99042809009552,0.8790237307548523,126.4573745727539,61.1202392578125,139.32728576660156,3318.481689453125,1506.601806640625,0.9456474476041395,86.992
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_with_sink,"Bystander, anatomical vascular sink",0.6623852849006653,0.5006422400474548,0.9590103030204773,0.8587533831596375,82.56805419921875,52.76813507080078,126.99065399169922,2339.637451171875,1347.9599609375,0.9456474476041395,86.992
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,physical_only,Physical-only,0.6245397925376892,0.3553992211818695,0.6245397925376892,0.3553992211818695,0.0,0.0,0.0,0.0,0.0,0.9552035550458715,106.616
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,bystander_no_sink,"Bystander, no vascular sink",0.6990072131156921,0.5309968590736389,0.9851462841033936,0.9105151891708374,106.02715301513672,70.2452392578125,133.0121307373047,2758.84130859375,1771.2127685546875,0.9552035550458715,106.616
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,bystander_with_sink,"Bystander, anatomical vascular sink",0.6992178559303284,0.5307884812355042,0.9851462841033936,0.9008257985115051,106.02694702148438,67.43138122558594,128.13238525390625,2758.840576171875,1714.9835205078125,0.9552035550458715,106.616
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,physical_only,Physical-only,0.6059675216674805,0.2685689926147461,0.6059675216674805,0.2685689926147461,0.0,0.0,0.0,0.0,0.0,0.9351188622443684,72.06400000000001
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,bystander_no_sink,"Bystander, no vascular sink",0.6475858688354492,0.4795982539653778,0.9937383532524109,0.8788699507713318,131.7120819091797,60.09040451049805,141.69711303710938,3542.796875,1481.8489990234375,0.9351188622443684,72.06400000000001
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,bystander_with_sink,"Bystander, anatomical vascular sink",0.6476077437400818,0.4786982536315918,0.9937237501144409,0.8638595342636108,131.52212524414062,56.82988739013672,135.66064453125,3540.98828125,1419.5419921875,0.9351188622443684,72.06400000000001
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,physical_only,Physical-only,0.62791907787323,0.376740962266922,0.62791907787323,0.376740962266922,0.0,0.0,0.0,0.0,0.0,0.9653124653124653,139.144
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,bystander_no_sink,"Bystander, no vascular sink",0.6813428997993469,0.5524612069129944,0.9916918873786926,0.9041734933853149,128.33206176757812,67.5671615600586,173.43435668945312,3361.432373046875,1680.7015380859375,0.9653124653124653,139.144
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,bystander_with_sink,"Bystander, anatomical vascular sink",0.6799842715263367,0.551954448223114,0.9541188478469849,0.8858665823936462,78.56181335449219,58.05415344238281,158.7623291015625,2240.32177734375,1496.5955810546875,0.9653124653124653,139.144
