plan_id,metric,label,baseline_delta,mean_delta,min_delta,max_delta,p2_5_delta,p97_5_delta,prob_same_sign_as_baseline
case07,brainstem_d2,Brainstem D2,-0.20497261047363224,-0.19751867441030685,-0.23828475952148764,-0.1052753448486321,-0.2359383316040063,-0.11991602325439463,1.0
case08,brainstem_d2,Brainstem D2,-0.563579330444334,-0.6208519568810107,-0.9439434814453165,-0.3591191101074216,-0.912728942871096,-0.3678123855590837,1.0
case09,brainstem_d2,Brainstem D2,-1.370623321533209,-1.4657710031362705,-2.231984252929692,-0.6510536193847614,-2.170589950561528,-0.7533829574584945,1.0
case10,brainstem_d2,Brainstem D2,-0.7666006469726554,-0.7526918440598711,-1.2106079101562557,-0.2723684692382804,-1.1723148803710983,-0.3177964096069329,1.0
case01,parotid_r_mean,Parotid R mean,-0.41066505355064287,-0.47137883033693156,-0.743849528919565,-0.26227302792096374,-0.6985985068118925,-0.29539228868002876,1.0
case02,parotid_r_mean,Parotid R mean,-0.170251910132591,-0.2023716895545093,-0.34337882128628827,-0.08856630806971078,-0.31506611657865136,-0.10701565725634792,1.0
case03,parotid_r_mean,Parotid R mean,-1.089929885093614,-1.1632395336770605,-1.682809452095416,-0.643721571835604,-1.616974377294983,-0.7148192870978154,1.0
case04,parotid_r_mean,Parotid R mean,-0.8697615286316527,-0.9510151891626859,-1.4285043928358299,-0.5231124035035712,-1.3544951009268715,-0.5845932899340229,1.0
case05,parotid_r_mean,Parotid R mean,-1.2949787255489476,-1.3595072880398875,-1.9562577950834026,-0.7245515264645981,-1.8995192907314098,-0.797563604489722,1.0
case06,parotid_r_mean,Parotid R mean,-0.7149604604701771,-0.800432816678087,-1.2053224505800202,-0.45822391317348377,-1.1505773954680485,-0.5079061564050549,1.0
case07,parotid_r_mean,Parotid R mean,-0.5360199388831557,-0.6154393010113532,-0.9465428227126012,-0.35298210201841407,-0.9051114899221104,-0.3933911245519465,1.0
case08,parotid_r_mean,Parotid R mean,-1.1218993832366628,-1.2058007199540095,-1.780616536766594,-0.6326251636851907,-1.7068591628411824,-0.702527828794536,1.0
case09,parotid_r_mean,Parotid R mean,-1.2311278025309242,-1.2971122630548366,-1.9007365255644828,-0.6777717262807528,-1.8384962925766453,-0.7461902273544163,1.0
case10,parotid_r_mean,Parotid R mean,-1.3883621485546378,-1.4439413321138628,-2.0641808904782692,-0.7544101676555606,-2.0101766247219515,-0.8378034894153329,1.0
