sample_id,plan_id,metric,label,physical_value,no_sink_value,with_sink_value,delta
sample_001,case03,cord_d2,Cord D2,18.599873275756835,39.8583283996582,39.751141204833985,-0.10718719482421335
sample_001,case03,brainstem_d2,Brainstem D2,18.5877791595459,39.54756088256837,39.10048355102539,-0.44707733154297813
sample_001,case03,parotid_r_mean,Parotid R mean,4.715152071943186,19.2106401385683,18.328716493857026,-0.881923644711275
sample_001,case04,ptv_d95,PTV D95,3.4999999046325683,18.088779067993165,12.502194690704346,-5.586584377288819
sample_001,case04,pvdr,PVDR,1.9199070266211269,1.3868798284683221,1.584391550557092,0.19751172208876988
sample_001,case04,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.1157045766817415,21.55886920614084,19.64324877225305,-1.915620433887792
sample_001,case04,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,3.8142536735420576,15.321328346827107,14.74106268168706,-0.5802656651400468
sample_001,case04,cord_d2,Cord D2,12.86361804962158,35.2160205078125,35.09434280395508,-0.12167770385742216
sample_001,case04,brainstem_d2,Brainstem D2,26.443986892700195,34.5228874206543,34.463539123535156,-0.05934829711914347
sample_001,case04,parotid_r_mean,Parotid R mean,3.353234562127277,14.736451289629695,13.984672949049209,-0.7517783405804863
sample_001,case05,ptv_d95,PTV D95,3.4999999046325683,18.36576862335205,17.30349807739258,-1.0622705459594712
sample_001,case05,pvdr,PVDR,2.0117584786890403,1.473870031088249,1.3287842681323525,-0.1450857629558966
sample_001,case05,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.226131111328786,21.304268423299188,20.618439810924123,-0.6858286123750652
sample_001,case05,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,4.913785900432322,17.428337009056754,17.047940306898987,-0.38039670215776766
sample_001,case05,cord_d2,Cord D2,17.382209701538084,38.742206726074215,38.621132354736325,-0.12107437133789034
sample_001,case05,brainstem_d2,Brainstem D2,10.529837722778321,37.21038711547852,37.06592666625977,-0.144460449218748
sample_001,case05,parotid_r_mean,Parotid R mean,7.717367107699616,25.332842759411744,24.326618358342333,-1.0062244010694101
sample_001,case06,ptv_d95,PTV D95,3.499999833106995,18.81658802032471,17.595405960083006,-1.221182060241702
sample_001,case06,pvdr,PVDR,1.7061907148943334,1.2782679146377134,1.2993195576255503,0.021051642987836905
sample_001,case06,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.543073716337961,22.729544900295387,22.111174847265293,-0.6183700530300946
sample_001,case06,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.422456015930188,19.180873451929624,18.714809489212783,-0.4660639627168415
sample_001,case06,cord_d2,Cord D2,5.403743743896482,18.664710235595702,18.57809043884277,-0.08661979675293097
sample_001,case06,brainstem_d2,Brainstem D2,6.732566375732423,19.932305450439454,19.61489013671875,-0.317415313720705
sample_001,case06,parotid_r_mean,Parotid R mean,5.246605821811792,23.197456662341803,22.565275452353738,-0.6321812099880653
sample_001,case07,ptv_d95,PTV D95,3.5000000953674317,18.559133338928223,16.92642879486084,-1.6327045440673835
sample_001,case07,pvdr,PVDR,2.1613267665900513,1.5297573555894184,1.563832302627516,0.03407494703809766
sample_001,case07,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,6.415503504528602,21.515926580781557,20.750566516800912,-0.7653600639806442
sample_001,case07,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,5.824338141293821,18.45447222538414,17.67683193789099,-0.7776402874931492
sample_001,case07,cord_d2,Cord D2,9.003155403137207,21.797510452270508,21.738435974121092,-0.05907447814941591
sample_001,case07,brainstem_d2,Brainstem D2,8.335540504455567,21.38013008117676,21.226052474975585,-0.15407760620117372
sample_001,case07,parotid_r_mean,Parotid R mean,3.8203198885676835,16.573950345588454,16.078591608760334,-0.4953587368281198
sample_001,case08,ptv_d95,PTV D95,3.500000047683716,18.97806806564331,17.820915985107423,-1.1571520805358873
sample_001,case08,pvdr,PVDR,1.6140858790872068,1.380236679698709,1.2194624911830976,-0.16077418851561132
sample_001,case08,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.966978740692139,22.342757826680995,21.620616000582768,-0.7221418260982269
sample_001,case08,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.200121616227579,18.601747402859303,18.07979771456759,-0.5219496882917127
sample_001,case08,cord_d2,Cord D2,12.02076622009277,36.583479614257804,36.45951721191406,-0.1239624023437429
sample_001,case08,brainstem_d2,Brainstem D2,10.299411087036132,27.5382967376709,27.17917762756348,-0.3591191101074216
sample_001,case08,parotid_r_mean,Parotid R mean,9.591219079374063,27.66618116359518,26.773200225830077,-0.8929809377651026
sample_001,case09,ptv_d95,PTV D95,3.5000001430511474,19.03045539855957,18.456431198120118,-0.5740242004394531
sample_001,case09,pvdr,PVDR,1.8639824157560045,1.3054924165399966,1.2041949622052426,-0.10129745433475401
sample_001,case09,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.143698386991114,22.05227790310536,21.809470443224694,-0.242807459880666
sample_001,case09,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.54102773662969,19.174124555109206,18.886461379738865,-0.2876631753703407
