case_id,case_label,metric,label,units,n_repeats,mean,std,min,max,p2_5,p97_5,mean_ci_lower,mean_ci_upper,coefficient_of_variation_pct
case01,Right sinonasal / maxillary bulky ellipsoid,thyroid_mean_gy,Thyroid mean,Gy,9,3.92390761368866,0.10838588779490234,3.676506321588906,4.039038677887282,3.7044471848306273,4.03810427882723,3.849949783803386,3.987084613668681,2.7621926524670246
case01,Right sinonasal / maxillary bulky ellipsoid,body_dmax_gy,Body Dmax,Gy,9,22.582238515218098,0.33568585460876343,21.95879364013672,23.068098068237305,22.002123641967774,23.03744583129883,22.37620671590169,22.78703696992662,1.4865038927940903
case02,Left maxillary sinus crescent abutting orbit,ptv_d95_gy,PTV D95,Gy,9,3.4999998966852823,1.247749206888267e-07,3.49999977350235,3.5000001788139343,3.4999997806549072,3.5000001430511474,3.4999998225106133,3.4999999841385416,3.5649978391998333e-06
case02,Left maxillary sinus crescent abutting orbit,gtv_d95_gy,GTV D95,Gy,9,3.867609808180067,0.021985425323006166,3.8369812965393066,3.9033540725708007,3.837265119552612,3.8995141792297363,3.8533590012126497,3.881203534735573,0.5684499319581459
case02,Left maxillary sinus crescent abutting orbit,peak_mean_gy,Peak mean,Gy,9,13.59969422436265,0.24871133071025275,13.438132213410878,14.088864522661481,13.439106197175526,14.078139647710891,13.460698193943688,13.796566092899866,1.828800902484325
case02,Left maxillary sinus crescent abutting orbit,valley_mean_gy,Valley mean,Gy,9,5.705624947408839,0.0528447062452795,5.645106113397978,5.833639971091686,5.650316289506428,5.81505321960244,5.675644990148848,5.743331957442668,0.9261861186525847
case02,Left maxillary sinus crescent abutting orbit,pvdr,PVDR,ratio,9,2.3834177894450095,0.02684254382205572,2.3568155998834213,2.4448629882064443,2.3577566192326103,2.4389117834683223,2.368369774721083,2.402684739142831,1.126220671043415
case02,Left maxillary sinus crescent abutting orbit,spill_shell_0_5_mean_gy,Peri-GTV 0-5 mm mean,Gy,9,5.191137345229868,0.04831935032835309,5.124965418358708,5.307021731717027,5.1329171336563455,5.2900601942485554,5.16342120604389,5.226064074614084,0.9308046987574641
case02,Left maxillary sinus crescent abutting orbit,spill_shell_5_15_mean_gy,Peri-GTV 5-15 mm mean,Gy,9,4.261853680266265,0.03508067207042318,4.226871840851054,4.348139857624875,4.228501374053502,4.334619504068609,4.241515660058795,4.286681617869146,0.823131780259323
case02,Left maxillary sinus crescent abutting orbit,cord_d2_gy,Cord D2,Gy,9,2.3544641176859535,0.07216833940617076,2.2865379524230955,2.4902026367187493,2.287588548660278,2.4858926658630365,2.3104274699687957,2.403309909476174,3.0651704931099237
case02,Left maxillary sinus crescent abutting orbit,brainstem_d2_gy,Brainstem D2,Gy,9,4.596400165557862,0.1483573928188177,4.398923473358154,4.867289924621582,4.401609817504883,4.846754402160645,4.499357342031266,4.693254052533044,3.2276866128955004
case02,Left maxillary sinus crescent abutting orbit,parotid_r_mean_gy,Parotid R mean,Gy,9,0.2345018730186319,0.009672622736261995,0.21780982913091929,0.2507221340982601,0.21922470528067964,0.2492040573045461,0.22803131422849515,0.2405358134452609,4.124752869455109
case02,Left maxillary sinus crescent abutting orbit,thyroid_mean_gy,Thyroid mean,Gy,9,6.731327294237145,0.1258085945154578,6.550363060121565,7.003181082914488,6.554534918457362,6.9620097648986725,6.654590915899568,6.814946407618947,1.8690012982011086
case02,Left maxillary sinus crescent abutting orbit,body_dmax_gy,Body Dmax,Gy,9,19.80542606777615,0.5098541059318727,19.250513076782227,20.83412742614746,19.289956665039064,20.791305541992188,19.510857899983726,20.158644183476763,2.5743152618232044
case03,Base-of-tongue / oropharynx bilobed central mass,ptv_d95_gy,PTV D95,Gy,9,3.499999980131785,1.4048949503631344e-07,3.499999761581421,3.5000001788139343,3.49999977350235,3.500000166893005,3.499999887413449,3.5000000728501215,4.013985595252021e-06
case03,Base-of-tongue / oropharynx bilobed central mass,gtv_d95_gy,GTV D95,Gy,9,3.8320763958825004,0.035451327030779065,3.7922792196273805,3.921185386180878,3.7936727595329285,3.905822377204895,3.8128100072344147,3.858103180130323,0.9251205708965223
case03,Base-of-tongue / oropharynx bilobed central mass,peak_mean_gy,Peak mean,Gy,9,13.667779991435323,0.17290181877691502,13.33770209453145,13.869712549380367,13.366087181360694,13.855487172630667,13.545930650034787,13.7721168911589,1.265032206292909
case03,Base-of-tongue / oropharynx bilobed central mass,valley_mean_gy,Valley mean,Gy,9,6.7146097446058635,0.07102278757396978,6.5860139473343215,6.798252476567141,6.59092165719316,6.797179471627477,6.6683304927888205,6.758261288949248,1.0577351517863784
case03,Base-of-tongue / oropharynx bilobed central mass,pvdr,PVDR,ratio,9,2.0355179998482646,0.01261275137625759,2.019767913667516,2.064219352037344,2.0208454226136734,2.060403379415561,2.0282745973956913,2.0443780480861773,0.6196334975764298
case03,Base-of-tongue / oropharynx bilobed central mass,spill_shell_0_5_mean_gy,Peri-GTV 0-5 mm mean,Gy,9,5.9649972066450205,0.0644028101623487,5.843943648595147,6.0308493795418485,5.85199755277238,6.029892017848546,5.922713133682095,6.004568365304294,1.0796787983505476
