plan_id,case_label,endpoint,label,units,n_repeats,mean_with_sink_minus_no_sink,std_repeat_delta,min_delta,max_delta,p2_5_delta,p97_5_delta,mean_delta_ci_lower,mean_delta_ci_upper,bio_sigma_for_delta,combined_sigma,combined_95pct_noise_band,abs_mean_over_combined_sigma,exceeds_1sigma_noise_band,exceeds_95pct_noise_band,mean_delta_ci_excludes_zero,cohens_dz
case02,Left maxillary sinus crescent abutting orbit,brainstem_d2,Brainstem D2,Gy,9,-0.08316498650444891,0.009939715746806032,-0.09415885925292855,-0.05835304260253693,-0.09411296081542915,-0.06276318359374855,-0.08870027224222801,-0.07633330302768215,0.0004912503740486591,0.009951847871491342,0.01950562182812303,8.35673812324727,True,True,True,-7.888424902355994
case02,Left maxillary sinus crescent abutting orbit,parotid_r_mean,Parotid R mean,Gy,9,-0.1880570646889684,0.005133833648951829,-0.19778325027889698,-0.18115852697931167,-0.19704442582949264,-0.18156078776927922,-0.19141473453855687,-0.18488581807324392,0.07278300043907508,0.07296383625365044,0.14300911905715485,2.5774010022610314,True,True,True,-34.5359653323286
case03,Base-of-tongue / oropharynx bilobed central mass,ptv_d95,PTV D95,Gy,9,-1.2970810466342502,0.03247900566788943,-1.34358811378479,-1.247363567352295,-1.3430488586425782,-1.2509731769561767,-1.3189318895339965,-1.2766636066966586,0.5595337811511053,0.5604756355618216,1.0985322457011701,2.314250547812046,True,True,True,-37.65200668198179
case03,Base-of-tongue / oropharynx bilobed central mass,pvdr,PVDR,ratio,9,-0.11254476444107166,0.0008413229969118964,-0.11400510009334552,-0.1115351299683951,-0.11394020863551528,-0.11159142437180014,-0.11313450152845368,-0.11201053437188488,0.00316735604240918,0.003277189143842442,0.006423290721931187,34.341858068379615,True,True,True,-126.12067171257597
case03,Base-of-tongue / oropharynx bilobed central mass,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.7346693578630819,0.0014868806284000498,-0.7374661966613694,-0.7327792054187086,-0.7373365486084211,-0.7329513306341262,-0.7356710447325553,-0.7337909550867874,0.05447333174673355,0.05449362059537612,0.1068074963669372,13.481749787156183,True,True,True,-465.84298694638835
case03,Base-of-tongue / oropharynx bilobed central mass,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.3819945607323889,0.0009064124675773774,-0.38369036152677793,-0.3810010989464203,-0.3836035554839601,-0.38102869358731156,-0.38257783506437176,-0.3814286810334984,0.031243400836048374,0.03125654618417345,0.061262830520979965,12.221265858407905,True,True,True,-397.33337589260407
case03,Base-of-tongue / oropharynx bilobed central mass,cord_d2,Cord D2,Gy,9,-0.13637212965223514,0.012588905605236013,-0.157849884033201,-0.11874114990234474,-0.15617369079589666,-0.11905249023437606,-0.14495360332065094,-0.12836437458462233,0.0,0.012588905605236013,0.024674254986262585,10.832723187273313,True,True,True,-10.213189365916946
case03,Base-of-tongue / oropharynx bilobed central mass,brainstem_d2,Brainstem D2,Gy,9,-0.12191336737738705,0.016004141773949414,-0.1466872406005848,-0.09707626342773423,-0.14440443420410035,-0.09802307128906236,-0.1324605587853324,-0.11161700587802455,0.0004912503740486591,0.016011679513738577,0.03138289184692761,7.614027452446893,True,True,True,-7.18195493870283
case03,Base-of-tongue / oropharynx bilobed central mass,parotid_r_mean,Parotid R mean,Gy,9,-0.7785058405798027,0.0014848519448662574,-0.7810540189646709,-0.776631648131092,-0.7808533747509273,-0.7766774067734236,-0.779526891210665,-0.7775871460954218,0.07278300043907508,0.07279814515640201,0.14268436450654795,10.694034015663918,True,True,True,-494.31348893791096
case04,Laryngo-hypopharyngeal elongated cylinder,ptv_d95,PTV D95,Gy,9,-4.549510595533583,0.01907888663050187,-4.574706935882569,-4.51690502166748,-4.574483261108399,-4.518738689422607,-4.561087862120734,-4.536648205386268,0.5595337811511053,0.5598589609574116,1.0973235634765268,8.12617268419441,True,True,True,-224.82023229725695
case04,Laryngo-hypopharyngeal elongated cylinder,pvdr,PVDR,ratio,9,0.17372790429544133,0.0011039353328044512,0.1714213584638309,0.1750373331234456,0.1716388396354048,0.17497598982011575,0.1729763936384829,0.17437782157706086,0.00316735604240918,0.003354223832483458,0.0065742787116675775,51.79377196387448,True,True,True,148.37122617386075
case04,Laryngo-hypopharyngeal elongated cylinder,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-1.574073354041366,0.0020057217519147286,-1.5787550222279059,-1.5716365992031882,-1.578070765549667,-1.5718213903365972,-1.5754665327625876,-1.5729570264070956,0.05447333174673355,0.0545102448291676,0.1068400798651685,28.876651700509395,True,True,True,-739.9085086886455
