plan_id,case_label,site_group,mode,mode_label,ptv_d95,pvdr,spill_shell_0_5_mean,spill_shell_5_15_mean,cord_d2,brainstem_d2,parotid_r_mean,gtv_d95,thyroid_mean,body_dmax,parotid_l_mean,spill_shell_15_30_mean,outside_gtv_d2,oar_adjacent_outside_gtv_mean,ptv_valley_outside_gtv_mean,peak_mean,valley_mean,peak_voxels,valley_voxels,risk_score,rank
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_no_sink,"Bystander, no vascular sink",16.540505409240723,1.4328145685805087,20.24508835003665,14.102773193528407,34.65096496582031,33.656449737548826,13.374595951311516,21.02609043121338,20.20675125063019,41.304718017578125,12.1936237585665,8.431713676790412,24.409367218017568,15.375374717845993,20.23710904164638,35.18731193989515,24.558175713382973,256,13699,-0.5537344123550086,4
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_with_sink,"Bystander, anatomical vascular sink",11.662172794342041,1.6514185589026198,18.25724750261692,13.46854444370052,34.43271255493164,33.60686050415039,12.504834422679863,11.83490161895752,19.95334987079396,41.12785339355469,11.30129923868661,8.188665146058435,24.264010238647455,14.693360093795594,18.246697873687857,34.96898631751537,21.17512009841559,256,13699,-2.380980082036521,4
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,physical_only,Physical-only,3.4999999046325683,2.0117584786890403,6.226131111328786,4.913785900432322,17.382209701538084,10.529837722778321,7.717367107699616,3.8106948733329773,5.361402574153876,23.051963806152344,1.7204651635102552,3.643718089623293,14.27351491928102,5.874452227000148,6.226131111328786,13.806424663238918,6.862863912091404,776,18122,-0.8603046842174225,5
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_no_sink,"Bystander, no vascular sink",16.80250301361084,1.546760004593117,19.75069647027703,16.005192903594438,38.42104064941406,36.98851806640625,23.760926878572715,19.597538948059082,16.81877618972731,44.052310943603516,10.086257292044284,12.259997293971555,24.335526504516604,16.87413677159589,19.75069647027703,36.30089141167316,23.468987628253483,776,18122,0.7567881638914777,5
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_with_sink,"Bystander, anatomical vascular sink",15.775056743621827,1.388799837355285,19.052599521765572,15.627330161382355,38.23194595336914,36.64693832397461,22.465948153023767,18.195425510406494,16.72999794195311,39.010982513427734,9.482088540780424,12.077453710751497,23.739383773803723,16.22845854159534,19.052599521765572,31.066791308294867,22.36952401107411,776,18122,1.2268463721195277,6
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,physical_only,Physical-only,3.499999833106995,1.7061907148943334,7.543073716337961,6.422456015930188,5.403743743896482,6.732566375732423,5.246605821811792,3.659237813949585,10.82258131039032,20.705089569091797,0.2381690007380464,5.015193713692018,13.890360832214348,4.3800665012154365,7.543073716337961,13.861065228780111,8.123983507692776,237,16899,1.445279533608693,7
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,bystander_no_sink,"Bystander, no vascular sink",17.40870361328125,1.315480627674186,21.437104237821156,17.83998530662789,17.107503509521482,18.38760581970215,21.493303331702645,19.378567504882813,21.365926057561634,39.40796661376953,3.1667460239294805,14.541339208250943,24.34258155822754,13.648984489781505,21.437104237821156,33.73874236159184,25.64746424372898,237,16899,1.084818465396196,6
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,bystander_with_sink,"Bystander, anatomical vascular sink",16.293491172790528,1.3378228182834035,20.844668728345177,17.387311032864353,16.965179138183593,18.055944595336914,20.778342871232468,18.448831939697268,21.311401863216247,39.40755081176758,2.973281429993986,14.204659008779274,24.194136428833005,13.05252803434271,20.844668728345177,33.738737597244196,25.21913749425748,237,16899,0.16492679492587486,5
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,physical_only,Physical-only,3.5000000953674317,2.1613267665900513,6.415503504528602,5.824338141293821,9.003155403137207,8.335540504455567,3.8203198885676835,3.6924392938613892,7.974017617503187,21.14145851135254,5.449974843227502,4.396317056972474,12.118023223876953,5.312555811819674,6.415503504528602,13.689966307953,6.334056709782856,512,16591,-5.394933681127745,1
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,bystander_no_sink,"Bystander, no vascular sink",17.017978286743165,1.6079384775760868,20.01025193435105,17.039022828829268,20.329964370727538,19.949425735473632,15.148586602644487,19.5189772605896,20.19133156519556,42.90023422241211,16.858663560886576,14.367316266220111,22.88692939758301,16.356666476834043,20.01025193435105,37.184595346450806,23.12563314145286,512,16591,-4.069234102296179,2
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,bystander_with_sink,"Bystander, anatomical vascular sink",15.505365467071533,1.644872142167257,19.28334404938437,16.3069159793944,20.232002487182616,19.744453125,14.612566663761331,18.419972038269044,20.114043147202246,42.89466094970703,16.379857658617425,13.855940104197764,22.83942535400391,15.537719895129284,19.28334404938437,37.176061667501926,22.601186265164262,512,16591,-4.272076253367085,3
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,physical_only,Physical-only,3.500000047683716,1.6140858790872068,7.966978740692139,6.200121616227579,12.02076622009277,10.299411087036132,9.591219079374063,3.592278242111206,7.946613831047673,32.78679275512695,3.3732984294795028,4.713630612688714,12.84454288482666,6.286034142269991,7.966978740692139,13.970378084517579,8.65528796548178,769,24790,3.5463851799403843,8
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,bystander_no_sink,"Bystander, no vascular sink",17.417679405212404,1.436683532311612,20.919983431714435,17.227235842707913,35.91695602416992,25.805145721435547,26.109075403695154,19.824814987182616,24.113222300821782,42.08240509033203,13.259047214430993,14.942121569366533,23.440801620483402,17.8449240368695,20.919983431714435,36.51021186769086,25.412842178921778,769,24790,1.9148532010644672,7
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,bystander_with_sink,"Bystander, anatomical vascular sink",16.454703903198244,1.256967816183951,20.186977732267312,16.7162033777808,35.706548919677736,25.241566390991213,24.98717602045849,18.46806221008301,23.925221037200362,41.967132568359375,12.694777024394334,14.660653802496313,23.14073066711426,17.157576166418167,20.186977732267312,30.428016228545626,24.207474397333844,769,24790,2.4868975329464744,7
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,physical_only,Physical-only,3.5000001430511474,1.8639824157560045,7.143698386991114,6.54102773662969,11.807664413452148,9.051507835388184,12.636478632146662,3.776699423789978,4.880332584351578,23.630250930786133,0.05150733873756094,4.826998070678374,15.186213493347172,5.219489985142696,7.143698386991114,14.765553460345172,7.921508988246799,745,23265,1.0582620183395424,6
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,bystander_no_sink,"Bystander, no vascular sink",17.466094970703125,1.3517966874928806,20.620197092621755,17.801819162843216,28.522125015258776,34.268044586181645,28.3556743467697,19.72105655670166,16.815884467618016,44.41686248779297,1.639369707396536,14.036672137894746,24.413063011169434,15.024868947322767,20.620197092621755,34.749291823214335,25.706004567641276,745,23265,3.1680844598013875,9
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,bystander_with_sink,"Bystander, anatomical vascular sink",16.973918533325197,1.24001702236287,20.358461062333134,17.526052780503722,28.18966430664062,32.897421264648436,27.124546544238775,18.58409900665283,16.729415877315652,43.646663665771484,1.3564873429861937,13.831701304477692,24.018724098205567,14.481763672748809,20.358461062333134,30.904220975325412,24.92241672330996,745,23265,3.6725335776693724,9
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,physical_only,Physical-only,3.5,1.645898441108816,8.18923931996917,7.3043823211845735,12.623858299255371,12.214059333801272,6.92926394216942,3.789829444885254,6.470446024147718,53.71074295043945,11.025258737621886,5.723209473051944,16.443399276733395,9.552665634896519,8.18923931996917,14.210520298235455,8.633898631474521,1039,45740,4.925447467562638,10
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,bystander_no_sink,"Bystander, no vascular sink",17.829437732696533,1.3295951413335259,21.290234107646278,18.185106664338836,37.73780624389648,35.30533401489258,24.832267248750938,20.18063850402832,24.810764903254555,60.00179672241211,27.382547116520428,16.046202219750768,26.064274444580075,21.197227731221457,21.290234107646278,36.19617533936193,27.223456384669657,1039,45740,4.460245691644254,10
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,bystander_with_sink,"Bystander, anatomical vascular sink",16.564589023590088,1.2309691419852413,20.847948432405527,17.985503201682132,37.59747116088867,34.538733367919924,23.4439051001963,17.859467697143554,24.57149953222127,59.947669982910156,26.072379919495244,16.031269335514963,25.88592086791992,20.921601045944513,20.847948432405527,31.792173986829624,25.82694634859563,1039,45740,5.596958732712563,10
