plan_id,case_label,site_group,mode,mode_label,mean_gammah2ax_peak,mean_gammah2ax_valley,mean_tunel_peak,mean_tunel_valley,cytokine_global_auc,cytokine_peak_roi_auc,cytokine_valley_roi_auc
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,bystander_with_sink,"Bystander, anatomical vascular sink",0.6992178559303284,0.5307884812355042,0.985137939453125,0.9007701873779297,128.13238525390625,2758.840576171875,1714.9835205078125
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,physical_only,Physical-only,0.6059675216674805,0.2685689926147461,0.6059675216674805,0.2685689926147461,0.0,0.0,0.0
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,bystander_no_sink,"Bystander, no vascular sink",0.6475858688354492,0.4795982241630554,0.9937349557876587,0.8788034319877625,141.69711303710938,3542.796875,1481.8489990234375
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,bystander_with_sink,"Bystander, anatomical vascular sink",0.6476077437400818,0.4786982536315918,0.993720293045044,0.8637847900390625,135.66064453125,3540.98828125,1419.5419921875
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,physical_only,Physical-only,0.62791907787323,0.376740962266922,0.62791907787323,0.376740962266922,0.0,0.0,0.0
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,bystander_no_sink,"Bystander, no vascular sink",0.6813428997993469,0.5524612069129944,0.9916871786117554,0.9041191339492798,173.43435668945312,3361.432373046875,1680.7015380859375
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,bystander_with_sink,"Bystander, anatomical vascular sink",0.6799842715263367,0.551954448223114,0.9540928602218628,0.8858018517494202,158.7623291015625,2240.32177734375,1496.5955810546875
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,physical_only,Physical-only,0.6515526175498962,0.34481725096702576,0.6515526175498962,0.34481725096702576,0.0,0.0,0.0
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,bystander_no_sink,"Bystander, no vascular sink",0.7262247800827026,0.5243804454803467,0.9840409755706787,0.9048963785171509,159.05923461914062,2874.665771484375,1816.754150390625
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,bystander_with_sink,"Bystander, anatomical vascular sink",0.7251365184783936,0.5247550010681152,0.9586102366447449,0.8956000208854675,148.8852081298828,2168.737060546875,1688.286865234375
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,physical_only,Physical-only,0.6341351866722107,0.3717471659183502,0.6341351866722107,0.3717471659183502,0.0,0.0,0.0
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,bystander_no_sink,"Bystander, no vascular sink",0.6921378970146179,0.5350176095962524,0.9919412732124329,0.9221644997596741,254.38449096679688,3235.307861328125,2001.569580078125
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,bystander_with_sink,"Bystander, anatomical vascular sink",0.6907650232315063,0.5345745086669922,0.9606609344482422,0.9060648679733276,231.6350555419922,2440.19775390625,1769.117431640625
