plan_id,case_label,site_group,model_id,model_label,ptv_d95,pvdr,spill_shell_0_5_mean,spill_shell_5_15_mean,cord_d2,brainstem_d2,parotid_r_mean,gtv_d95,thyroid_mean,body_dmax,parotid_l_mean,spill_shell_15_30_mean,outside_gtv_d2,oar_adjacent_outside_gtv_mean,ptv_valley_outside_gtv_mean,peak_mean,valley_mean,peak_voxels,valley_voxels,risk_score,rank,repeat_id,seed,history_scale,model_risk_score,model_rank_within_case
case04,Laryngo-hypopharyngeal elongated cylinder,,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",16.99625473022461,1.702195652283618,20.137654824664644,13.496808268665612,32.55648223876952,20.665426559448242,11.395830846073652,21.82406349182129,21.269846532366962,48.333778381347656,12.426534587686712,7.991118708362501,21.313219299316394,14.11420307181943,20.121514639777168,41.127665266394615,24.1615381940489,256,13699,,,seed11_hist0p5,11,0.5,0.6467142144008737,3
case04,Laryngo-hypopharyngeal elongated cylinder,,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",16.746202278137208,1.7297374668344014,19.983939984773514,14.137461839253225,32.55724975585936,20.495497589111327,11.464090898301865,20.752824211120604,22.218528850897915,48.34080505371094,12.455300792058308,8.189249177533087,21.151825408935547,14.438284683172748,19.967541962866445,41.14512375742197,23.78691827304973,256,13699,,,seed11_hist0p5,11,0.5,1.763469459698458,4
case04,Laryngo-hypopharyngeal elongated cylinder,,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",17.4611759185791,1.6914483628420622,20.398356321022234,14.366948576886744,32.5573336791992,20.57190139770508,11.62039841449622,21.933185005187987,22.21854225253173,48.34082794189453,12.604914260633064,8.294131958335882,21.498817291259762,14.71677988437851,20.38251273664302,41.145140282809734,24.32538952219355,256,13699,,,seed11_hist0p5,11,0.5,3.316787216407552,6
case04,Laryngo-hypopharyngeal elongated cylinder,,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",15.076295089721679,1.5005741818957032,19.18165356211028,13.732653543075733,31.81191955566406,20.59388252258301,11.607226896767665,16.295860862731935,19.199646893669577,42.76529312133789,10.339618927541405,8.325759886270511,20.552304534912107,14.197937939256212,19.17310002244598,34.206228986382484,22.795426843322815,256,13699,,,seed11_hist0p5,11,0.5,2.4644066994152416,5
case04,Laryngo-hypopharyngeal elongated cylinder,,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",15.97222671508789,1.7404916787749336,18.766793804327268,13.304607775081232,29.70683166503905,19.46643623352051,10.68103966761117,20.15252799987793,20.522018400139114,46.06479263305664,11.672549529027457,7.808230252016592,19.823143539428706,13.668417081738717,18.751088340728657,38.851696372032166,22.32225344471535,256,13699,,,seed11_hist0p5,11,0.5,-9.006479915074081,1
case05,Parapharyngeal / prestyloid deep-space bulky mass,,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",16.437391090393067,1.5269108796783855,20.616340331154124,17.147182277959967,38.66535415649414,38.37328689575195,22.046484573441322,18.025649070739746,18.043477365476058,41.947261810302734,12.318980213126752,13.517130242677764,25.666334457397465,17.74998892466666,20.616340331154124,35.74962338958819,23.41303861631935,776,18122,,,seed11_hist0p5,11,0.5,0.3068038849598507,3
case05,Parapharyngeal / prestyloid deep-space bulky mass,,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",16.7469331741333,1.317283071927326,20.829901317023882,17.33677722600219,38.47708267211914,38.174856719970705,22.373556375985192,18.123615264892578,19.11305046819681,42.50385284423828,12.48279235338924,13.547057411173082,25.533199844360354,18.380588488933043,20.829901317023882,31.410177831797256,23.844668242673766,776,18122,,,seed11_hist0p5,11,0.5,3.106496784979984,7
case05,Parapharyngeal / prestyloid deep-space bulky mass,,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",17.721133041381837,1.4784104843567916,21.367552760222814,17.636494628754726,38.66802734375,38.38481796264649,22.634855952407374,19.9166898727417,19.040775183922737,43.40993881225586,12.6330345857023,13.597673760939326,25.50326957702638,18.2886247597308,21.367552760222814,36.4223898735243,24.636182074541026,776,18122,,,seed11_hist0p5,11,0.5,2.357502786408749,4
case05,Parapharyngeal / prestyloid deep-space bulky mass,,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",15.38219108581543,1.5315202178202953,20.284894867632147,17.108416799288314,38.59374298095703,38.259620361328125,17.05507505012281,16.924514770507812,17.408728988547075,41.21304702758789,12.552620635369811,13.541192430713629,25.627683067321783,17.839522004151387,20.284894867632147,35.472450634867876,23.161594748878542,776,18122,,,seed11_hist0p5,11,0.5,-2.0514138606574868,2
case05,Parapharyngeal / prestyloid deep-space bulky mass,,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",16.286819458007812,1.4782827532058045,19.85258619935645,16.46701160690443,35.625992431640626,35.43795715332031,20.886635344919533,18.28921604156494,17.909137749450494,40.622314453125,11.77134340555981,12.796740643966848,24.736781387329103,17.415031831473836,19.85258619935645,33.65707783846511,22.767686199055195,776,18122,,,seed11_hist0p5,11,0.5,-8.751472339919568,1
