plan_id,case_label,site_group,model_id,model_label,mean_gammah2ax_peak,mean_gammah2ax_valley,mean_tunel_peak,mean_tunel_valley,mean_cytokine_final_peak,mean_cytokine_final_valley,cytokine_global_auc,cytokine_peak_roi_auc,cytokine_valley_roi_auc,immune_scalar,icd_volume_cm3
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,no_sink,"Bystander, no vascular sink",0.6813428997993469,0.5524612069129944,0.9916918873786926,0.9041734933853149,128.33206176757812,67.5671615600586,173.43435668945312,3361.432373046875,1680.7015380859375,0.9653124653124653,139.144
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,true_vessel_sink,"Bystander, anatomical vascular sink",0.6799842715263367,0.551954448223114,0.9541188478469849,0.8858665823936462,78.56181335449219,58.05415344238281,158.7623291015625,2240.32177734375,1496.5955810546875,0.9653124653124653,139.144
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,physical_only,Physical-only,0.6515526175498962,0.34481725096702576,0.6515526175498962,0.34481725096702576,0.0,0.0,0.0,0.0,0.0,0.9667888835751103,145.552
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,no_sink,"Bystander, no vascular sink",0.7262247800827026,0.5243804454803467,0.9840500950813293,0.9049504399299622,114.11104583740234,72.87409210205078,159.05923461914062,2874.665771484375,1816.754150390625,0.9667888835751103,145.552
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,true_vessel_sink,"Bystander, anatomical vascular sink",0.7251365184783936,0.5247550010681152,0.9586336612701416,0.8956592082977295,81.73334503173828,66.37479400634766,148.8852081298828,2168.737060546875,1688.286865234375,0.9667888835751103,145.552
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,physical_only,Physical-only,0.6341351866722107,0.3717471659183502,0.6341351866722107,0.3717471659183502,0.0,0.0,0.0,0.0,0.0,0.9783257039811347,225.68800000000002
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,no_sink,"Bystander, no vascular sink",0.6921378970146179,0.5350176095962524,0.9919456839561462,0.9222092032432556,125.260498046875,80.87811279296875,254.38449096679688,3235.307861328125,2001.569580078125,0.9783257039811347,225.68800000000002
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,true_vessel_sink,"Bystander, anatomical vascular sink",0.6907650232315063,0.5345745086669922,0.9606834650039673,0.9061189293861389,88.87693786621094,69.18602752685547,231.6350555419922,2440.19775390625,1769.117431640625,0.9783257039811347,225.68800000000002
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",0.6752670407295227,0.5451446175575256,0.9883439540863037,0.8547676205635071,108.06954956054688,46.23161697387695,84.00311279296875,3039.517822265625,1162.0675048828125,0.9410877556791404,79.872
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",0.6751654148101807,0.5441004633903503,0.9924166798591614,0.8626938462257385,125.80305480957031,51.13653564453125,87.91143798828125,3373.063232421875,1257.34765625,0.9410877556791404,79.872
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",0.6751658320426941,0.5446863770484924,0.9924221038818359,0.8712832927703857,125.8715591430664,52.526512145996094,88.5549545288086,3373.658203125,1282.8756103515625,0.9410877556791404,79.872
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",0.6752710938453674,0.5443822145462036,0.9922789335250854,0.8606386780738831,125.00669860839844,50.62791442871094,87.17593383789062,3362.091796875,1246.1392822265625,0.9410877556791404,79.872
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",0.675119936466217,0.5446866750717163,0.9860942959785461,0.8372716903686523,95.79053497314453,38.81895065307617,74.62885284423828,2808.669677734375,1046.04736328125,0.9410877556791404,79.872
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",0.6751790046691895,0.5443540215492249,0.991197943687439,0.8482229113578796,118.02693176269531,46.185237884521484,80.78668975830078,3238.84814453125,1168.10888671875,0.9410877556791404,79.872
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",0.67550128698349,0.5455578565597534,0.992364764213562,0.8514459729194641,125.34282684326172,46.32770919799805,76.07454681396484,3368.90966796875,1183.20458984375,0.9410877556791404,79.872
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",0.6754681468009949,0.5443021655082703,0.9921783804893494,0.8188859224319458,123.95929718017578,38.71279525756836,73.73186492919922,3353.256103515625,1031.50537109375,0.9410877556791404,79.872
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",0.6583496332168579,0.5302514433860779,0.9638511538505554,0.8727588653564453,92.58340454101562,52.53547286987305,114.1635971069336,2625.230712890625,1323.1298828125,0.9572678791193765,112.008
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",0.6588021516799927,0.5283864140510559,0.9953368902206421,0.8680103421211243,141.1361083984375,54.944576263427734,119.519775390625,3742.71826171875,1362.5858154296875,0.9572678791193765,112.008
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",0.6588035821914673,0.5292516350746155,0.9953557252883911,0.879956066608429,141.53175354003906,57.36217498779297,121.22047424316406,3746.75439453125,1409.767578125,0.9572678791193765,112.008
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",0.6588011980056763,0.5291641354560852,0.9953554272651672,0.8787463903427124,141.52212524414062,57.075496673583984,121.44313049316406,3746.68359375,1404.954833984375,0.9572678791193765,112.008
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",0.6587536334991455,0.5292333960533142,0.9904801249504089,0.8472034335136414,107.20010375976562,42.4727668762207,102.07704162597656,3110.42626953125,1151.5540771484375,0.9572678791193765,112.008
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",0.658852219581604,0.5293601751327515,0.993528425693512,0.8607679605484009,124.23799133300781,49.9603271484375,108.7325668334961,3435.8095703125,1275.07958984375,0.9572678791193765,112.008
