plan_id,case_label,site_group,model_id,model_label,support_voxels,target_mass_species0,target_mass_species1,dropout_radius_mm,random_seed,shift_voxels_xyz
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",1856,105.40000915527344,1722.800048828125,,,
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",920,105.40000915527344,1722.800048828125,20.0,,
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",1799,105.40000915527344,1722.800048828125,,3690697002,"5,-3,3"
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125,,,
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125,,,
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",29446,105.40000915527344,1722.800048828125,,,
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",105204,105.40000915527344,1722.800048828125,,,
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",2030,105.40000915527344,1722.800048828125,,,
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",1856,105.40000915527344,1722.800048828125,,,
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",42259,105.40000915527344,1722.800048828125,20.0,,
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",1615,105.40000915527344,1722.800048828125,,3269237032,"-3,-5,-4"
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",124698,105.40000915527344,1722.800048828125,,,
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",103993,105.40000915527344,1722.800048828125,,,
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",31213,105.40000915527344,1722.800048828125,,,
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",83569,105.40000915527344,1722.800048828125,,,
